Country,Team Matches Played,Matches Won,Matches Lost,Matches Tied,Matches With No Result,Win/Loss Ratio,Avg Runs Per Wicket Batting,Avg Runs Per Six Balls Batting,Number Of Team Innings Batting,Highest Team Score Batting,Lowest Completed Score Batting
England,100,47,48,1,4,0.979,24.14,8.15,100,230,80
Australia,100,53,44,2,1,1.204,25.80,8.41,100,263,79
South Africa,103,60,42,0,1,1.428,27.34,8.12,103,241,100
West Indies,98,46,45,3,4,1.022,22.59,7.71,95,245,60
New Zealand,111,54,49,5,3,1.102,23.30,8.05,110,243,60
India,99,61,35,1,2,1.742,29.32,8.17,98,260,74
Pakistan,128,79,46,3,0,1.717,23.51,7.61,128,205,74
Sri Lanka,108,54,52,1,1,1.038,22.14,7.74,108,260,82
Zimbabwe,56,13,42,1,0,0.309,19.79,7.20,56,200,84
Netherlands,47,26,19,0,2,1.368,20.77,7.26,45,193,39
Hong Kong,24,10,14,0,0,0.714,18.45,6.82,24,183,69
P.N.G.,9,3,6,0,0,0.500,15.32,6.32,9,150,102
Bangladesh,79,23,54,0,2,0.425,19.67,7.48,79,215,70
U.A.E.,26,9,17,0,0,0.529,19.14,6.85,26,180,73
Ireland,63,26,31,0,6,0.838,19.60,7.15,59,225,68
Scotland,46,18,25,0,3,0.720,19.53,7.20,43,189,81
Oman,17,5,11,0,1,0.454,19.02,7.05,16,180,132
Afghanistan,66,44,22,0,0,2.000,22.39,7.73,66,233,72
